Location,Year,Missing
EU27_2020,2009,1
EU27_2020,2010,1
EU27_2020,2011,1
EU27_2020,2012,1
EU27_2020,2013,1
EU27_2020,2014,1
EU27_2020,2015,0
EU27_2020,2016,0
EU27_2020,2017,0
EU27_2020,2018,0
EU27_2020,2019,0
EU27_2020,2020,0
EU28,2009,1
EU28,2010,1
EU28,2011,1
EU28,2012,1
EU28,2013,1
EU28,2014,1
EU28,2015,0
EU28,2016,0
EU28,2017,0
EU28,2018,0
EU28,2019,0
EU28,2020,1
FI,2009,0
FI,2010,0
FI,2011,0
FI,2012,0
FI,2013,0
FI,2014,0
FI,2015,0
FI,2016,0
FI,2017,0
FI,2018,0
FI,2019,0
FI,2020,0
FR,2009,0
FR,2010,1
FR,2011,0
FR,2012,0
FR,2013,0
FR,2014,0
FR,2015,0
FR,2016,0
FR,2017,0
FR,2018,0
FR,2019,0
FR,2020,0
HR,2009,0
HR,2010,0
HR,2011,0
HR,2012,0
HR,2013,0
HR,2014,0
HR,2015,0
HR,2016,0
HR,2017,0
HR,2018,0
HR,2019,0
HR,2020,0
HU,2009,0
HU,2010,0
HU,2011,0
HU,2012,0
HU,2013,0
HU,2014,0
HU,2015,1
HU,2016,1
HU,2017,1
HU,2018,1
HU,2019,1
HU,2020,1
IE,2009,0
IE,2010,0
IE,2011,0
IE,2012,0
IE,2013,0
IE,2014,0
IE,2015,0
IE,2016,0
IE,2017,0
IE,2018,0
IE,2019,0
IE,2020,0
IT,2009,0
IT,2010,0
IT,2011,0
IT,2012,0
IT,2013,0
IT,2014,0
IT,2015,0
IT,2016,0
IT,2017,0
IT,2018,0
IT,2019,0
IT,2020,0
LT,2009,0
LT,2010,0
LT,2011,0
LT,2012,0
LT,2013,0
LT,2014,0
LT,2015,0
LT,2016,0
LT,2017,0
LT,2018,0
LT,2019,0
LT,2020,0
LU,2009,1
LU,2010,0
LU,2011,0
LU,2012,0
LU,2013,0
LU,2014,0
LU,2015,0
LU,2016,0
LU,2017,0
LU,2018,0
LU,2019,0
LU,2020,0
LV,2009,0
LV,2010,0
LV,2011,0
LV,2012,0
LV,2013,0
LV,2014,0
LV,2015,0
LV,2016,0
LV,2017,0
LV,2018,0
LV,2019,0
LV,2020,0
MK,2009,0
MK,2010,0
MK,2011,0
MK,2012,0
MK,2013,0
MK,2014,0
MK,2015,0
MK,2016,0
MK,2017,0
MK,2018,0
MK,2019,0
MK,2020,0
NL,2009,1
NL,2010,1
NL,2011,1
NL,2012,1
NL,2013,1
NL,2014,1
NL,2015,1
NL,2016,1
NL,2017,1
NL,2018,1
NL,2019,1
NL,2020,1
NO,2009,1
NO,2010,0
NO,2011,0
NO,2012,0
NO,2013,0
NO,2014,0
NO,2015,0
NO,2016,0
NO,2017,0
NO,2018,0
NO,2019,0
NO,2020,0
PL,2009,0
PL,2010,0
PL,2011,0
PL,2012,0
PL,2013,0
PL,2014,0
PL,2015,0
PL,2016,0
PL,2017,0
PL,2018,0
PL,2019,0
PL,2020,1
PT,2009,0
PT,2010,0
PT,2011,0
PT,2012,0
PT,2013,0
PT,2014,0
PT,2015,0
PT,2016,0
PT,2017,0
PT,2018,0
PT,2019,0
PT,2020,0
RO,2009,0
RO,2010,0
RO,2011,0
RO,2012,0
RO,2013,0
RO,2014,0
RO,2015,0
RO,2016,0
RO,2017,0
RO,2018,0
RO,2019,0
RO,2020,0
SE,2009,0
SE,2010,0
SE,2011,0
SE,2012,0
SE,2013,0
SE,2014,0
SE,2015,0
SE,2016,0
SE,2017,0
SE,2018,0
SE,2019,0
SE,2020,0
SI,2009,0
SI,2010,0
SI,2011,0
SI,2012,0
SI,2013,0
SI,2014,0
SI,2015,0
SI,2016,0
SI,2017,0
SI,2018,0
SI,2019,0
SI,2020,0
SK,2009,0
SK,2010,0
SK,2011,0
SK,2012,0
SK,2013,0
SK,2014,0
SK,2015,0
SK,2016,0
SK,2017,0
SK,2018,0
SK,2019,0
SK,2020,0
TR,2009,0
TR,2010,0
TR,2011,0
TR,2012,0
TR,2013,0
TR,2014,0
TR,2015,0
TR,2016,0
TR,2017,0
TR,2018,0
TR,2019,0
TR,2020,0
UK,2009,0
UK,2010,0
UK,2011,0
UK,2012,0
UK,2013,0
UK,2014,0
UK,2015,0
UK,2016,0
UK,2017,0
UK,2018,0
UK,2019,0
UK,2020,1
