VehicleType,Country,Year,Missing
BUS_TOT,CY,1994,1
BUS_TOT,EE,1994,1
BUS_TOT,EU27_2020,1994,1
BUS_TOT,EU28,1994,1
BUS_TOT,HR,1994,1
BUS_TOT,IS,1994,1
BUS_TOT,LT,1994,1
BUS_TOT,LV,1994,1
BUS_TOT,ME,1994,1
BUS_TOT,MK,1994,1
BUS_TOT,MT,1994,1
BUS_TOT,NL,1994,1
BUS_TOT,NO,1994,1
BUS_TOT,RO,1994,1
BUS_TOT,RS,1994,1
CAR,BG,1994,1
CAR,CY,1994,1
CAR,EE,1994,1
CAR,EU27_2020,1994,1
CAR,EU28,1994,1
CAR,HR,1994,1
CAR,IS,1994,1
CAR,LT,1994,1
CAR,LV,1994,1
CAR,ME,1994,1
CAR,MK,1994,1
CAR,MT,1994,1
CAR,NL,1994,1
CAR,NO,1994,1
CAR,RO,1994,1
CAR,RS,1994,1
TRN,BG,1994,1
TRN,EE,1994,1
TRN,EU27_2020,1994,1
TRN,EU28,1994,1
TRN,HR,1994,1
TRN,LT,1994,1
TRN,LV,1994,1
TRN,ME,1994,1
TRN,MK,1994,1
TRN,NL,1994,1
TRN,NO,1994,1
TRN,RO,1994,1
TRN,RS,1994,1
TRN_BUS_TOT_AVD,BG,1994,1
TRN_BUS_TOT_AVD,CY,1994,1
TRN_BUS_TOT_AVD,EE,1994,1
TRN_BUS_TOT_AVD,EU27_2020,1994,1
TRN_BUS_TOT_AVD,EU28,1994,1
TRN_BUS_TOT_AVD,HR,1994,1
TRN_BUS_TOT_AVD,IS,1994,1
TRN_BUS_TOT_AVD,LT,1994,1
TRN_BUS_TOT_AVD,LV,1994,1
TRN_BUS_TOT_AVD,ME,1994,1
TRN_BUS_TOT_AVD,MK,1994,1
TRN_BUS_TOT_AVD,MT,1994,1
TRN_BUS_TOT_AVD,NL,1994,1
TRN_BUS_TOT_AVD,NO,1994,1
TRN_BUS_TOT_AVD,RO,1994,1
TRN_BUS_TOT_AVD,RS,1994,1
BUS_TOT,BG,1993,1
BUS_TOT,CY,1993,1
BUS_TOT,EE,1993,1
BUS_TOT,EU27_2020,1993,1
BUS_TOT,EU28,1993,1
BUS_TOT,HR,1993,1
BUS_TOT,IS,1993,1
BUS_TOT,LT,1993,1
BUS_TOT,LV,1993,1
BUS_TOT,ME,1993,1
BUS_TOT,MK,1993,1
BUS_TOT,MT,1993,1
BUS_TOT,NO,1993,1
BUS_TOT,RO,1993,1
BUS_TOT,RS,1993,1
CAR,BG,1993,1
CAR,CY,1993,1
CAR,EE,1993,1
CAR,EU27_2020,1993,1
CAR,EU28,1993,1
CAR,HR,1993,1
CAR,IS,1993,1
CAR,LT,1993,1
CAR,LV,1993,1
CAR,ME,1993,1
CAR,MK,1993,1
CAR,MT,1993,1
CAR,NO,1993,1
CAR,RO,1993,1
CAR,RS,1993,1
TRN,BG,1993,1
TRN,EE,1993,1
TRN,EU27_2020,1993,1
TRN,EU28,1993,1
TRN,HR,1993,1
TRN,LT,1993,1
TRN,LV,1993,1
TRN,ME,1993,1
TRN,MK,1993,1
TRN,NO,1993,1
TRN,RO,1993,1
TRN,RS,1993,1
TRN_BUS_TOT_AVD,BG,1993,1
TRN_BUS_TOT_AVD,CY,1993,1
TRN_BUS_TOT_AVD,EE,1993,1
TRN_BUS_TOT_AVD,EU27_2020,1993,1
TRN_BUS_TOT_AVD,EU28,1993,1
TRN_BUS_TOT_AVD,HR,1993,1
TRN_BUS_TOT_AVD,IS,1993,1
TRN_BUS_TOT_AVD,LT,1993,1
TRN_BUS_TOT_AVD,LV,1993,1
TRN_BUS_TOT_AVD,ME,1993,1
TRN_BUS_TOT_AVD,MK,1993,1
TRN_BUS_TOT_AVD,MT,1993,1
TRN_BUS_TOT_AVD,NO,1993,1
TRN_BUS_TOT_AVD,RO,1993,1
TRN_BUS_TOT_AVD,RS,1993,1
BUS_TOT,BG,1992,1
BUS_TOT,CY,1992,1
BUS_TOT,CZ,1992,1
BUS_TOT,EE,1992,1
BUS_TOT,EU27_2020,1992,1
BUS_TOT,EU28,1992,1
BUS_TOT,HR,1992,1
BUS_TOT,IS,1992,1
BUS_TOT,LT,1992,1
BUS_TOT,LV,1992,1
BUS_TOT,ME,1992,1
BUS_TOT,MK,1992,1
BUS_TOT,MT,1992,1
BUS_TOT,NO,1992,1
BUS_TOT,RO,1992,1
BUS_TOT,RS,1992,1
BUS_TOT,SK,1992,1
CAR,BG,1992,1
CAR,CY,1992,1
CAR,CZ,1992,1
CAR,EE,1992,1
CAR,EU27_2020,1992,1
CAR,EU28,1992,1
CAR,HR,1992,1
CAR,IS,1992,1
CAR,LT,1992,1
CAR,LV,1992,1
CAR,ME,1992,1
CAR,MK,1992,1
CAR,MT,1992,1
CAR,NO,1992,1
CAR,RO,1992,1
CAR,RS,1992,1
CAR,SK,1992,1
TRN,BG,1992,1
TRN,CZ,1992,1
TRN,EE,1992,1
TRN,EU27_2020,1992,1
TRN,EU28,1992,1
TRN,HR,1992,1
TRN,LT,1992,1
TRN,LV,1992,1
TRN,ME,1992,1
TRN,MK,1992,1
TRN,NO,1992,1
TRN,RO,1992,1
TRN,RS,1992,1
TRN,SK,1992,1
TRN_BUS_TOT_AVD,BG,1992,1
TRN_BUS_TOT_AVD,CY,1992,1
TRN_BUS_TOT_AVD,CZ,1992,1
TRN_BUS_TOT_AVD,EE,1992,1
TRN_BUS_TOT_AVD,EU27_2020,1992,1
TRN_BUS_TOT_AVD,EU28,1992,1
TRN_BUS_TOT_AVD,HR,1992,1
TRN_BUS_TOT_AVD,IS,1992,1
TRN_BUS_TOT_AVD,LT,1992,1
TRN_BUS_TOT_AVD,LV,1992,1
TRN_BUS_TOT_AVD,ME,1992,1
TRN_BUS_TOT_AVD,MK,1992,1
TRN_BUS_TOT_AVD,MT,1992,1
TRN_BUS_TOT_AVD,NO,1992,1
TRN_BUS_TOT_AVD,RO,1992,1
TRN_BUS_TOT_AVD,RS,1992,1
TRN_BUS_TOT_AVD,SK,1992,1
BUS_TOT,BG,1991,1
BUS_TOT,CY,1991,1
BUS_TOT,CZ,1991,1
BUS_TOT,EE,1991,1
BUS_TOT,EU27_2020,1991,1
BUS_TOT,EU28,1991,1
BUS_TOT,HR,1991,1
BUS_TOT,IS,1991,1
BUS_TOT,LT,1991,1
BUS_TOT,LV,1991,1
BUS_TOT,ME,1991,1
BUS_TOT,MK,1991,1
BUS_TOT,MT,1991,1
BUS_TOT,NL,1991,1
BUS_TOT,NO,1991,1
BUS_TOT,PT,1991,1
BUS_TOT,RO,1991,1
BUS_TOT,RS,1991,1
BUS_TOT,SK,1991,1
BUS_TOT,TR,1991,1
CAR,BG,1991,1
CAR,CY,1991,1
CAR,CZ,1991,1
CAR,EE,1991,1
CAR,EU27_2020,1991,1
CAR,EU28,1991,1
CAR,HR,1991,1
CAR,IS,1991,1
CAR,LT,1991,1
CAR,LV,1991,1
CAR,ME,1991,1
CAR,MK,1991,1
CAR,MT,1991,1
CAR,NL,1991,1
CAR,NO,1991,1
CAR,PT,1991,1
CAR,RO,1991,1
CAR,RS,1991,1
CAR,SK,1991,1
CAR,TR,1991,1
TRN,BG,1991,1
TRN,CZ,1991,1
TRN,EE,1991,1
TRN,EU27_2020,1991,1
TRN,EU28,1991,1
TRN,HR,1991,1
TRN,LT,1991,1
TRN,LV,1991,1
TRN,ME,1991,1
TRN,MK,1991,1
TRN,NL,1991,1
TRN,NO,1991,1
TRN,PT,1991,1
TRN,RO,1991,1
TRN,RS,1991,1
TRN,SK,1991,1
TRN,TR,1991,1
TRN_BUS_TOT_AVD,BG,1991,1
TRN_BUS_TOT_AVD,CY,1991,1
TRN_BUS_TOT_AVD,CZ,1991,1
TRN_BUS_TOT_AVD,EE,1991,1
TRN_BUS_TOT_AVD,EU27_2020,1991,1
TRN_BUS_TOT_AVD,EU28,1991,1
TRN_BUS_TOT_AVD,HR,1991,1
TRN_BUS_TOT_AVD,IS,1991,1
TRN_BUS_TOT_AVD,LT,1991,1
TRN_BUS_TOT_AVD,LV,1991,1
TRN_BUS_TOT_AVD,ME,1991,1
TRN_BUS_TOT_AVD,MK,1991,1
TRN_BUS_TOT_AVD,MT,1991,1
TRN_BUS_TOT_AVD,NL,1991,1
TRN_BUS_TOT_AVD,NO,1991,1
TRN_BUS_TOT_AVD,PT,1991,1
TRN_BUS_TOT_AVD,RO,1991,1
TRN_BUS_TOT_AVD,RS,1991,1
TRN_BUS_TOT_AVD,SK,1991,1
TRN_BUS_TOT_AVD,TR,1991,1
BUS_TOT,BG,1990,1
BUS_TOT,CY,1990,1
BUS_TOT,CZ,1990,1
BUS_TOT,EE,1990,1
BUS_TOT,EU27_2020,1990,1
BUS_TOT,EU28,1990,1
BUS_TOT,HR,1990,1
BUS_TOT,IS,1990,1
BUS_TOT,LT,1990,1
BUS_TOT,LV,1990,1
BUS_TOT,ME,1990,1
BUS_TOT,MK,1990,1
BUS_TOT,MT,1990,1
BUS_TOT,NL,1990,1
BUS_TOT,PT,1990,1
BUS_TOT,RO,1990,1
BUS_TOT,RS,1990,1
BUS_TOT,SK,1990,1
CAR,BG,1990,1
CAR,CY,1990,1
CAR,CZ,1990,1
CAR,EE,1990,1
CAR,EU27_2020,1990,1
CAR,EU28,1990,1
CAR,HR,1990,1
CAR,IS,1990,1
CAR,LT,1990,1
CAR,LV,1990,1
CAR,ME,1990,1
CAR,MK,1990,1
CAR,MT,1990,1
CAR,NL,1990,1
CAR,PT,1990,1
CAR,RO,1990,1
CAR,RS,1990,1
CAR,SK,1990,1
TRN,BG,1990,1
TRN,CZ,1990,1
TRN,EE,1990,1
TRN,EU27_2020,1990,1
TRN,EU28,1990,1
TRN,HR,1990,1
TRN,LT,1990,1
TRN,LV,1990,1
TRN,ME,1990,1
TRN,MK,1990,1
TRN,NL,1990,1
TRN,PT,1990,1
TRN,RO,1990,1
TRN,RS,1990,1
TRN,SK,1990,1
TRN_BUS_TOT_AVD,BG,1990,1
TRN_BUS_TOT_AVD,CY,1990,1
TRN_BUS_TOT_AVD,CZ,1990,1
TRN_BUS_TOT_AVD,EE,1990,1
TRN_BUS_TOT_AVD,EU27_2020,1990,1
TRN_BUS_TOT_AVD,EU28,1990,1
TRN_BUS_TOT_AVD,HR,1990,1
TRN_BUS_TOT_AVD,IS,1990,1
TRN_BUS_TOT_AVD,LT,1990,1
TRN_BUS_TOT_AVD,LV,1990,1
TRN_BUS_TOT_AVD,ME,1990,1
TRN_BUS_TOT_AVD,MK,1990,1
TRN_BUS_TOT_AVD,MT,1990,1
TRN_BUS_TOT_AVD,NL,1990,1
TRN_BUS_TOT_AVD,PT,1990,1
TRN_BUS_TOT_AVD,RO,1990,1
TRN_BUS_TOT_AVD,RS,1990,1
TRN_BUS_TOT_AVD,SK,1990,1
