TypeOfRoad,Country,Year,LengthOfMotorways
MWAY,TR,2014,2278.0
MWAY,UK,2014,3760.0
RD_EUR,AT,2014,2248.0
RD_EUR,BG,2014,2926.0
RD_EUR,CH,2014,1466.0
RD_EUR,CZ,2014,2628.0
RD_EUR,DK,2014,944.0
RD_EUR,EE,2014,995.0
RD_EUR,ES,2014,0.0
RD_EUR,FI,2014,4216.0
RD_EUR,FR,2014,13175.0
RD_EUR,HR,2014,2251.0
RD_EUR,HU,2014,2345.0
RD_EUR,LT,2014,1639.0
RD_EUR,LV,2014,202.0
RD_EUR,MK,2014,553.0
RD_EUR,PL,2014,5500.0
RD_EUR,PT,2014,2241.0
RD_EUR,RO,2014,6194.0
RD_EUR,RS,2014,1899.0
RD_EUR,SE,2014,6742.0
RD_EUR,SI,2014,588.0
RD_EUR,SK,2014,1524.0
RD_EUR,TR,2014,9353.0
MWAY,AT,2015,1719.0
MWAY,BG,2015,734.0
MWAY,CH,2015,1440.0
MWAY,CY,2015,257.0
MWAY,CZ,2015,776.0
MWAY,DE,2015,12993.0
MWAY,DK,2015,1237.0
MWAY,EE,2015,147.0
MWAY,ES,2015,15336.0
MWAY,FI,2015,881.0
MWAY,FR,2015,11599.0
MWAY,HR,2015,1310.0
MWAY,HU,2015,1884.0
MWAY,IE,2015,916.0
MWAY,IT,2015,6943.0
MWAY,LI,2015,0.0
MWAY,LT,2015,309.0
MWAY,LU,2015,161.0
MWAY,LV,2015,0.0
MWAY,MK,2015,259.0
MWAY,NL,2015,2730.0
MWAY,PL,2015,1559.0
MWAY,PT,2015,3065.0
MWAY,RO,2015,747.0
MWAY,RS,2015,693.0
MWAY,SE,2015,2119.0
MWAY,SI,2015,610.0
MWAY,SK,2015,463.0
MWAY,TR,2015,2282.0
MWAY,UK,2015,3768.0
RD_EUR,AT,2015,2249.0
RD_EUR,BG,2015,2926.0
RD_EUR,CZ,2015,2628.0
RD_EUR,DK,2015,945.0
RD_EUR,EE,2015,953.0
RD_EUR,FI,2015,4286.0
RD_EUR,FR,2015,12797.0
RD_EUR,HR,2015,2251.0
RD_EUR,HU,2015,2348.0
RD_EUR,LT,2015,1639.0
RD_EUR,LV,2015,202.0
RD_EUR,MK,2015,553.0
RD_EUR,PL,2015,5500.0
RD_EUR,PT,2015,2241.0
RD_EUR,RO,2015,6193.0
RD_EUR,RS,2015,1887.0
RD_EUR,SE,2015,6744.0
RD_EUR,SI,2015,588.0
RD_EUR,SK,2015,1520.0
RD_EUR,TR,2015,9353.0
MWAY,AT,2016,1719.0
MWAY,BG,2016,734.0
MWAY,CH,2016,1447.0
MWAY,CY,2016,257.0
MWAY,CZ,2016,1222.661
MWAY,DE,2016,12996.0
MWAY,DK,2016,1255.0
MWAY,EE,2016,145.0
MWAY,ES,2016,15444.0
MWAY,FI,2016,890.0
MWAY,FR,2016,11612.0
MWAY,HR,2016,1310.0
MWAY,HU,2016,1924.0
MWAY,IE,2016,916.0
MWAY,IT,2016,6943.0
MWAY,LI,2016,0.0
MWAY,LT,2016,314.0
MWAY,LU,2016,161.0
MWAY,LV,2016,0.0
MWAY,MK,2016,259.0
MWAY,NL,2016,2756.0
MWAY,PL,2016,1637.0
MWAY,PT,2016,3065.0
MWAY,RO,2016,747.0
MWAY,RS,2016,741.0
MWAY,SE,2016,2118.0
MWAY,SI,2016,610.0
MWAY,SK,2016,463.0
MWAY,TR,2016,2542.0
MWAY,UK,2016,3764.0
RD_EUR,AT,2016,2250.0
RD_EUR,BG,2016,2953.0
RD_EUR,CZ,2016,2628.0
RD_EUR,DK,2016,945.0
RD_EUR,EE,2016,953.0
RD_EUR,FI,2016,4286.0
RD_EUR,FR,2016,12797.0
RD_EUR,HR,2016,2251.0
RD_EUR,HU,2016,2339.0
RD_EUR,LT,2016,1639.0
RD_EUR,LV,2016,202.0
RD_EUR,MK,2016,553.0
RD_EUR,PL,2016,5500.0
RD_EUR,PT,2016,2241.0
RD_EUR,RO,2016,6200.0
RD_EUR,RS,2016,2150.0
RD_EUR,SE,2016,6745.0
RD_EUR,SI,2016,588.0
RD_EUR,SK,2016,1521.0
RD_EUR,TR,2016,9353.0
MWAY,AT,2017,1719.0
MWAY,BG,2017,734.0
MWAY,CH,2017,1458.0
MWAY,CY,2017,257.0
MWAY,CZ,2017,1240.0
MWAY,DE,2017,13009.0
MWAY,DK,2017,1308.0
MWAY,EE,2017,154.0
MWAY,ES,2017,15523.0
MWAY,FI,2017,893.0
MWAY,FR,2017,11618.0
MWAY,HR,2017,1310.0
MWAY,HU,2017,1937.0
MWAY,IE,2017,916.0
MWAY,IT,2017,6943.0
MWAY,LI,2017,0.0
MWAY,LT,2017,324.0
MWAY,LU,2017,165.0
MWAY,LV,2017,0.0
MWAY,MK,2017,259.0
MWAY,NL,2017,2758.0
MWAY,NO,2017,523.0
MWAY,PL,2017,1637.0
MWAY,PT,2017,3065.0
MWAY,RO,2017,763.0
MWAY,RS,2017,963.0
MWAY,SE,2017,2132.0
MWAY,SI,2017,618.0
MWAY,SK,2017,482.0
MWAY,TR,2017,2657.0
MWAY,UK,2017,3803.0
MWAY,XK,2017,109.0
RD_EUR,AT,2017,2250.0
RD_EUR,BG,2017,2953.0
RD_EUR,CZ,2017,2631.0
RD_EUR,DK,2017,945.0
RD_EUR,EE,2017,953.0
RD_EUR,FI,2017,4286.0
RD_EUR,FR,2017,12797.0
RD_EUR,HR,2017,2255.0
RD_EUR,HU,2017,2335.0
RD_EUR,LI,2017,0.0
RD_EUR,LT,2017,1639.0
RD_EUR,LV,2017,202.0
RD_EUR,MK,2017,553.0
RD_EUR,PL,2017,5818.0
RD_EUR,PT,2017,2241.0
RD_EUR,RO,2017,6200.0
RD_EUR,RS,2017,2150.0
RD_EUR,SE,2017,6747.0
RD_EUR,SI,2017,588.0
RD_EUR,SK,2017,1524.0
RD_EUR,XK,2017,250.0
MWAY,AT,2018,1743.0
MWAY,BG,2018,757.0
MWAY,CH,2018,1462.0
MWAY,CY,2018,257.0
MWAY,CZ,2018,1252.0
MWAY,DE,2018,13141.0
MWAY,DK,2018,1329.0
MWAY,EE,2018,154.0
MWAY,ES,2018,15585.0
MWAY,FI,2018,926.0
MWAY,FR,2018,11671.0
MWAY,HR,2018,1310.0
MWAY,HU,2018,1982.0
MWAY,IE,2018,916.0
MWAY,IT,2018,6966.0
MWAY,LI,2018,0.0
MWAY,LT,2018,324.0
MWAY,LU,2018,165.0
MWAY,LV,2018,0.0
MWAY,MK,2018,287.0
MWAY,NL,2018,2755.0
MWAY,NO,2018,599.0
MWAY,PL,2018,1637.0
MWAY,PT,2018,3065.0
MWAY,RO,2018,823.0
MWAY,SE,2018,2132.0
MWAY,SI,2018,623.0
MWAY,SK,2018,482.0
MWAY,TR,2018,2842.0
MWAY,UK,2018,3838.0
MWAY,XK,2018,119.0
RD_EUR,AT,2018,2250.0
RD_EUR,BG,2018,2981.0
RD_EUR,CZ,2018,2630.0
RD_EUR,DK,2018,945.0
RD_EUR,EE,2018,953.0
RD_EUR,FI,2018,4348.0
RD_EUR,FR,2018,12797.0
RD_EUR,HR,2018,2255.0
RD_EUR,HU,2018,2332.0
RD_EUR,LI,2018,0.0
RD_EUR,LT,2018,1639.0
RD_EUR,LV,2018,202.0
RD_EUR,MK,2018,553.0
RD_EUR,PT,2018,2241.0
RD_EUR,RO,2018,6194.0
RD_EUR,SE,2018,6755.0
RD_EUR,SI,2018,594.0
RD_EUR,SK,2018,1524.0
RD_EUR,XK,2018,250.0
MWAY,AT,2019,1743.0
MWAY,BG,2019,790.0
MWAY,CY,2019,257.0
MWAY,CZ,2019,1276.0
MWAY,DE,2019,13183.0
MWAY,EE,2019,161.0
MWAY,FI,2019,926.0
MWAY,FR,2019,11671.0
MWAY,HR,2019,1310.0
MWAY,HU,2019,1723.2
MWAY,IE,2019,995.0
MWAY,LI,2019,0.0
MWAY,LT,2019,403.0
MWAY,LU,2019,165.0
MWAY,LV,2019,0.0
MWAY,MK,2019,335.0
MWAY,NL,2019,2790.0
MWAY,NO,2019,1008.0
MWAY,PL,2019,1676.0
MWAY,PT,2019,3065.0
MWAY,RO,2019,866.0
MWAY,SE,2019,2133.0
MWAY,SI,2019,623.0
MWAY,SK,2019,495.0
MWAY,TR,2019,3060.0
MWAY,XK,2019,137.0
RD_EUR,AT,2019,2250.0
RD_EUR,BG,2019,2984.0
RD_EUR,CZ,2019,2629.0
RD_EUR,EE,2019,953.0
RD_EUR,FI,2019,4351.0
RD_EUR,HR,2019,2255.0
RD_EUR,HU,2019,2470.5
RD_EUR,LI,2019,0.0
RD_EUR,LT,2019,1742.0
RD_EUR,LV,2019,202.0
RD_EUR,MK,2019,553.0
RD_EUR,NO,2019,7218.0
RD_EUR,PT,2019,2241.0
RD_EUR,RO,2019,6176.0
RD_EUR,SE,2019,6728.0
RD_EUR,SI,2019,594.0
RD_EUR,SK,2019,1529.0
RD_EUR,XK,2019,250.0
